[00:00:52 - 00:00:58] 色々な事をたくさん色々な事を喋らなくてはいけないのですから
[00:00:58 - 00:01:01] 何も前置きなしにいきなり
[00:01:03 - 00:01:04] 私のテーマについて
[00:01:05 - 00:01:07] 喋りたいと思っています
[00:01:09 - 00:01:13] 心と病気の関係というテーマでございますが
[00:01:16 - 00:01:17] 鈴木さんが大変
[00:01:18 - 00:01:20] 優しい簡単な話だと
[00:01:20 - 00:01:22] 思っているようですけど
[00:01:23 - 00:01:23] もし
[00:01:24 - 00:01:26] 話になると
[00:01:26 - 00:01:26] 大変
[00:01:28 - 00:01:35] とんでもない難しい話になる可能性はあるのですそれを恐れて色々考えていましたけど
[00:01:35 - 00:01:38] なかなか解決法は見つからなかったのです
[00:01:39 - 00:01:42] 一応、私は思ったのは
[00:01:43 - 00:01:51] 何か病気の人々集めて何か病院みたいに何とか治療みたいなもを喋るという事ではないのです
[00:01:52 - 00:01:53] それよりは病
[00:01:55 - 00:01:59] 気を治して健康な体を作るの
[00:01:59 - 00:02:03] 技ですか実ですかそれを何か
[00:02:04 - 00:02:06] 専門的にプロに
[00:02:06 - 00:02:12] 話してあげたかったのですということは私の話を聞いて自分で実践してみて
[00:02:14 - 00:02:18] いくらが健康な体作らればいいという
[00:02:18 - 00:02:21] 立場で話をしたいと思っていたのです
[00:02:22 - 00:02:23] まあ、とにかく
[00:02:27 - 00:02:32] よく聞いてくださいもう何とかなるのではないかなと思います
[00:02:36 - 00:02:39] 特に日本でアメリカとかそういう
[00:02:40 - 00:02:44] 二つの国でもまた他の国々もその影響で宗
[00:02:45 - 00:02:47] 教というのは何かヒーリング
[00:02:49 - 00:02:54] ヒーリングというのは嫌ですかそんな仕事をやっていることだと思っているのですね
[00:02:55 - 00:03:05] 僕らはものすごくそれを卑しく感じるのですよ何とか病は宗教から色々病気治してくれたのだと癌治してくれたのだという
[00:03:05 - 00:03:07] 、ものすごく仏
[00:03:07 - 00:03:09] 教のものはそれはすごく
[00:03:10 - 00:03:12] いやらしい宗教だなと
[00:03:13 - 00:03:15] 思うようなものなのですね
[00:03:16 - 00:03:19] 何とかして人の病気を治したという事は
[00:03:20 - 00:03:23] ですから、それまず覚えておいてください
[00:03:23 - 00:03:35] 何とか、何とかして、何とかお祈りして何とか職務してその人の病気を治しましたとそういうのは、それほど高次元的なものではないのですなぜならば
[00:03:36 - 00:03:40] そんなに病気治した形跡はどこにも無いのですよ
[00:03:42 - 00:03:54] 宗教であろうかどんな何か神秘的な力であろうかもしそういう神秘的なすごい巨大な力があって人の病気を治したならば世の中には病気は全部消えていはずなのですね
[00:03:55 - 00:03:57] ですから、もう
[00:03:57 - 00:04:00] 宗教家が一生懸命病気を
[00:04:00 - 00:04:03] 治すしでも、それを信じている人々は一生懸命病気にな
[00:04:04 - 00:04:06] ったりするし気がないのです
[00:04:07 - 00:04:10] ですから、その方法は我
[00:04:10 - 00:04:11] 々には断っ
[00:04:11 - 00:04:14] ているのです。お釈迦様は禁じられているのです
[00:04:14 - 00:04:18] 人の病気を治すとかそういう行
[00:04:19 - 00:04:21] 動はやめなさいと
[00:04:21 - 00:04:27] お釈迦様の言葉からと言うならばそれは邪な生き方なのです
[00:04:29 - 00:04:31] ですから僕もすごく心
[00:04:31 - 00:04:34] 配しながら話せなくてはいけないのです
[00:04:37 - 00:04:43] もっとレベル高く、行動に高度なレベルでこの心
[00:04:44 - 00:04:45] 体
[00:04:45 - 00:04:48] 病気そういうものはどういうものかと
[00:04:49 - 00:04:51] 理解していただければ
[00:04:52 - 00:04:54] 病気を治してもらうより
[00:04:55 - 00:04:55] もう
[00:04:56 - 00:05:00] もっと良いことになるかもしれません
[00:05:00 - 00:05:01] では
[00:05:02 - 00:05:04] 話に入りますけど
[00:05:10 - 00:05:16] 分からないかもしれませんけどこれは聞いて覚えておいてください我々の
[00:05:16 - 00:05:18] 身体というものは
[00:05:18 - 00:05:21] 心が作るのです
[00:05:21 - 00:05:24] 心というのは魂ではないのです
[00:05:25 - 00:05:27] 何かエネルギーなのです
[00:05:28 - 00:05:37] 精神的なエネルギーなのですこの精神的なエネルギーというものがこの肉体的な体を作っていのです
[00:05:40 - 00:05:43] それで皆様方
[00:05:43 - 00:05:53] よく聞いていらっしゃるのですね占いしていのですね手相を占い、腎臓を占いとかそれから描いたものを見て占ったりするとか
[00:05:55 - 00:06:00] そういうのはもう完全に嘘ではないのだけど結構当たるのですよ
[00:06:00 - 00:06:12] 手相なんかインチキな人ではなくてお金ではなくて趣味でやっている人から読んでもらったら結構当たるのですお金取って読む人は全部嘘言っていますけど
[00:06:12 - 00:06:22] そこで腎臓を占いであろうか他の占いであろうか人の顔を見て、歩い方を見て喋り方を見て、声を聞いて色々占ってもらうと
[00:06:23 - 00:06:27] 結構当たるのではないかなとそういう経験皆様にあると思います
[00:06:29 - 00:06:34] でも当たらないのはそれは商売にしている時なのですそれで食べていと当たらないのです
[00:06:35 - 00:06:42] 本人の商売だから何とかして人の機嫌取ろうとしていのですねですから、ものすごい嘘を言うのです
[00:06:43 - 00:06:46] 趣味で冗談で遊べてやってい人は人が
[00:06:47 - 00:06:49] 傷つくろうか、泣かろうか、それ
[00:06:49 - 00:06:59] に構わず言いたいものを言ってしいますから本当のこを言ってしうのですそれで私が言うのは何で手相を見て人の性格分かりますか
[00:07:00 - 00:07:04] 何で陣痛を見て人の運命やらもうこれ
[00:07:04 - 00:07:09] から何か悪いことになる出会うならばそんなこと何で分かりますかと
[00:07:10 - 00:07:13] それが分かるのはその体が
[00:07:13 - 00:07:16] 私の心が作っているのだから
[00:07:17 - 00:07:19] 心の状態
[00:07:19 - 00:07:20] 、性格
[00:07:20 - 00:07:25] 、私の生き方体にちゃんと写していのです
[00:07:27 - 00:07:29] ですからそういうのは
