[00:00:30 - 00:00:37] ♪♪

[00:00:46 - 00:00:48] よろしくお願いします。

[00:00:53 - 00:00:54] いろんなことをたくさん、いろんなことをしゃべらなくちゃいけないんですから、何も前置きなしにいきなり私のテーマについて

[00:00:54 - 00:00:55] しゃべりたいと思っています。心と病気の関係というテーマでございますが、

[00:00:55 - 00:00:58] 鈴木さんが優しい簡単な話だと思っているようですけど、もし話になるととんでもない難しい話になる可能性はあるんです。

[00:00:58 - 00:01:03] それをそれでいろいろ考えていましたけど、なかなか解決法を見つからなかったんです。

[00:01:03 - 00:01:05] 一応私は思ったのは、病気の人々を集めて病院みたいに治療みたいなものを

[00:01:05 - 00:01:09] しゃべるということではないんです。

[00:01:09 - 00:01:12] それよりは病気を治して健康な体を作る

[00:01:12 - 00:01:16] 技ですか、実装ですか、それを専門的に

[00:01:16 - 00:01:18] プロに話してあげたかったんです。

[00:01:18 - 00:01:23] ということは私の話を聞いて自分で実践してみて、

[00:01:23 - 00:01:26] いくらか健康な体が

[00:01:26 - 00:01:29] 作られればいいという

[00:01:29 - 00:01:32] 立場で話をしたいと思っていたんです。

[00:01:32 - 00:01:33] とにかくよく聞いてください。

[00:01:33 - 00:01:36] 何とかなるんじゃないかなと思います。特に日本でアメリカとか

[00:01:36 - 00:01:37] 宇宙の国でも宗教というのは

[00:01:37 - 00:01:40] ヒーリングというのは安素ですか、そんな仕事をやっていることだと思っているんですね。

[00:01:40 - 00:01:44] 僕らはものすごく

[00:01:44 - 00:01:46] それをいやらしく感じるんですよ。何とか宗教からいろいろ病気を治してくれたんだと、

[00:01:46 - 00:01:49] がん治してくれたんだというこのものすごく

[00:01:49 - 00:01:52] 仏教のものは、それはすごく

[00:01:52 - 00:01:56] いやらしい宗教だなと思うようなものなんですね。

[00:01:56 - 00:01:59] 何とかして

[00:01:59 - 00:02:01] 人の病気を治したということは。

[00:02:01 - 00:02:05] ですからそれをまず覚えていてください。

[00:02:05 - 00:02:08] 何とか何とかして何とか祈りして何とか食物で

[00:02:08 - 00:02:10] その人の病気を治しましたと。

[00:02:10 - 00:02:14] そういうのはそれほど

[00:02:14 - 00:02:16] 高次元的なものではないんです。

[00:02:16 - 00:02:18] なぜならば

[00:02:18 - 00:02:23] そんなに病気を治した形跡は

[00:02:23 - 00:02:28] どこにもないんですよ。

[00:02:28 - 00:02:30] 宗教であろうかどんな何か神秘的な手柄であろうか。

[00:02:30 - 00:02:37] もしそういう神秘的なすごい巨大な力があって

[00:02:37 - 00:02:39] 人の病気を治したならば

[00:02:39 - 00:02:42] 世の中には

[00:02:42 - 00:02:45] 病気は全部消えているはずなんですね。

[00:02:45 - 00:02:47] ですからもう

[00:02:47 - 00:02:50] 宗教家が一生懸命病気を治すし、でもそれを信じている人々は

[00:02:50 - 00:02:52] 一生懸命病気になったりするし、気がないんです。

[00:02:52 - 00:02:54] ですからその方法は

[00:02:54 - 00:02:56] 我々には断っているので

[00:02:56 - 00:02:57] お釈迦様は禁止られているんです。

[00:02:57 - 00:02:59] 人の病気を治すとか

[00:02:59 - 00:03:01] そういう行動はやめなさい。

[00:03:01 - 00:03:03] お釈迦様の言葉かれというならば

[00:03:03 - 00:03:05] それは横縞な生き方なんです。

[00:03:05 - 00:03:08] ですから僕もすごく心配しながら

[00:03:08 - 00:03:09] 話さなくちゃいけないんです。

[00:03:09 - 00:03:11] もっとレベルが高く、

[00:03:11 - 00:03:14] 行動なレベルで

[00:03:14 - 00:03:17] この心、体、病気、

[00:03:17 - 00:03:18] そういうものはどういうものかと

[00:03:18 - 00:03:21] 理解していただければ

[00:03:21 - 00:03:24] 病気を治してもらうより

[00:03:24 - 00:03:25] もっといいことになるかもしれません。

[00:03:25 - 00:03:27] じゃあ話に入りますけど、

[00:03:27 - 00:03:28] 分からないかもしれませんけどこれは聞いて覚えておいてください。

[00:03:28 - 00:03:31] 我々の体というものは

[00:03:31 - 00:03:32] 心が作るんです。

[00:03:32 - 00:03:35] 心というのは魂ではないんです。

[00:03:35 - 00:03:37] 何かエネルギーなんです。

[00:03:37 - 00:03:39] 精神的なエネルギーなんです。

[00:03:39 - 00:03:42] この精神的なエネルギーというものが

[00:03:42 - 00:03:43] この肉体的な体を作っているんです。

[00:03:43 - 00:03:46] それで皆様方よく聞いていらっしゃるんですね。

[00:03:46 - 00:03:47] 占いをしているんですね。

[00:03:47 - 00:03:49] 手相占い、人相占いとかね。

[00:03:49 - 00:03:51] それから描いたものを見て占ったりするとか。

[00:03:51 - 00:03:52] そういうのはもう完全に嘘ではないんだけど結構当たるんですよ。

[00:03:52 - 00:03:56] 手相なんかインチギな人ではなくてお金ではなくて趣味でやっている人から呼んでもらったら結構当たるんです。

[00:03:56 - 00:03:57] お金とって読む人は全部嘘を言ってますけど。

[00:03:57 - 00:04:01] そこで人相占いであろうか他の占いであろうか

[00:04:01 - 00:04:02] 人の顔を見て歩き方を見て喋り方を見て声を聞いていろいろ占ってもらうと結構当たるんではないかなとそういう経験皆様にあると思います。

[00:04:02 - 00:04:05] でも当たらないのはそれは商売にしている時なんです。

[00:04:05 - 00:04:07] それで食べていると当たらないんです。本人の商売だから何とかして人の機嫌を取ろうとしているんですね。

[00:04:07 - 00:04:10] ですからものすごい嘘を言うんです。

[00:04:10 - 00:04:12] 趣味で冗談で遊びでやっている人は

[00:04:12 - 00:04:15] 人がキスするか泣かれるか

[00:04:15 - 00:04:17] それに構わず言いたいものを言っちゃいますから

[00:04:17 - 00:04:22] 本当のことを言っちゃうんです。

[00:04:22 - 00:04:24] それで私は言うのは

[00:04:24 - 00:04:29] 何で手相を見て人の性格が分かりますか。

[00:04:29 - 00:04:32] 何で人相を見て人の運命やら

[00:04:32 - 00:04:37] これから何か悪いことに出会うならば

[00:04:37 - 00:04:39] そんなこと何で分かりますかと。

[00:04:39 - 00:04:40] それ分かるのは

[00:04:40 - 00:04:42] その体が私の心が救っているんだから

[00:04:42 - 00:04:46] 心の状態性格私の生き方体にちゃんと映しているんです。

[00:04:46 - 00:04:49] ですからそういうのはいくらか当たるんです。

[00:04:49 - 00:04:52] だからで仏教ではそんなものは信じるなと。

[00:04:52 - 00:04:55] 手相やら人相やら

[00:04:55 - 00:05:00] それから星占いとか

[00:05:00 - 00:05:05] そんなもんは全部ゴミ箱にポイ捨てしなさいと。

[00:05:10 - 00:05:12] そんな何の意味もないんだと。

[00:05:12 - 00:05:15] 僕も結構いろんな人には僕の手を読んでもらったことがあるんです。

[00:05:15 - 00:05:18] 遊びでお金払ってないんです。

[00:05:18 - 00:05:22] そこでいろいろ言うんですけど結局言っていることは私は知っているんです。

[00:05:22 - 00:05:25] あなたはこういうこういうではないかこういうこういうではないかまあそうですよ。

[00:05:25 - 00:05:28] 私が知ってますそんなことは。

[00:05:28 - 00:05:31] 自分知っていることは人に聞いてもらったって別にどこが何が面白いこと分からないんです。

[00:05:31 - 00:05:34] で私はチャレンジするのはじゃあできれば私が知らないことを言ってください。

[00:05:34 - 00:05:40] それは言えないんですね。手相を見ても人相を見たっても。

[00:05:40 - 00:05:43] ですからこの体は心が救るものだから

[00:05:43 - 00:05:45] 我々の顔を見たら

[00:05:45 - 00:05:47] だいたいわかるんですよどんな人間かと。

[00:05:47 - 00:05:50] 皆様もそうでしょうね。

[00:05:50 - 00:05:55] ちょっとすごい仕事でストレス溜まっちゃうといいやら調やら全部もうダメになっちゃうしもう髪の毛がすごく早く白くなってしまっちゃうしですごい歳とってしまっちゃうしですから

[00:05:55 - 00:05:58] 例えば20歳なのに30代ぐらいの顔を持っていると当然わかりますね。

[00:05:58 - 00:06:01] この人はえらい心で悩んでいるんだと。

[00:06:01 - 00:06:04] いろんな問題で悩んでいるということがよくわかるんですね。

[00:06:04 - 00:06:06] 例えば70歳になったおばあちゃんであればすごく可愛くてもう若々しくいるならばものすごい精神的にストレス何もなく元気で健康的でいるということなんですね。

[00:06:06 - 00:06:08] ですからもし病気になりたくなければ健康な心を救うことなんです。

[00:06:08 - 00:06:10] それでお釈迦様は健康な心を救う方法を教えているんです。

[00:06:10 - 00:06:13] しっかりしたどんなものにも怖がらないどんなものに対しても不満が出てこない

[00:06:13 - 00:06:15] しっかりした心を救う方法を教えてくれるんです。

[00:06:15 - 00:06:16] それを実践すればもう病気なんか

[00:06:16 - 00:06:18] 人の顔を見て歩い方を見て

[00:06:18 - 00:06:19] 喋り方を見て

[00:06:19 - 00:06:20] 声を聞いて

[00:06:20 - 00:06:23] いろいろ占ってもらうと

[00:06:23 - 00:06:25] 結構当たるんではないかなと

[00:06:25 - 00:06:29] そういう経験皆様にあると思います

[00:06:29 - 00:06:30] でも当たらないのは

[00:06:30 - 00:06:32] それは商売についている時なんです

[00:06:32 - 00:06:35] それで食べてると当たらないんです

[00:06:35 - 00:06:37] 本人の商売だから

[00:06:37 - 00:06:40] 何とかして人の機嫌を取ろうとしてるんですね

[00:06:40 - 00:06:43] ですからものすごい嘘を言うんです

[00:06:43 - 00:06:46] 趣味で冗談で遊びでやってる人は

[00:06:46 - 00:06:49] 人がキス付こうか泣かれようか

[00:06:49 - 00:06:52] それに構わず言いたいものを言っちゃいますから

[00:06:52 - 00:06:54] 本当のことを言っちゃうんです

[00:06:54 - 00:06:56] そこで私は言うのは

[00:06:56 - 00:07:00] 何で手相を見て人の性格を分かりますか

[00:07:00 - 00:07:04] 何で人相を見て人の運命やら

[00:07:04 - 00:07:07] これから何か悪いことに出会うならば

[00:07:07 - 00:07:10] そんなこと何で分かりますかと

[00:07:10 - 00:07:12] それ分かるのは

[00:07:12 - 00:07:17] その体が私の心がそこっているんだから

[00:07:17 - 00:07:19] 心の状態

[00:07:19 - 00:07:21] 性格

[00:07:21 - 00:07:23] 私の生き方

[00:07:23 - 00:07:26] そこにちゃんと映してるんです

[00:07:28 - 00:07:31] ですからそういうのは

[00:07:31 - 00:07:34] いくらか当たるんです

[00:07:34 - 00:07:37] だからといって仏教ではそんなものは

[00:07:37 - 00:07:39] 信じるなと

[00:07:39 - 00:07:41] 手相やら人相やら

[00:07:41 - 00:07:43] それから星占いとか

[00:07:43 - 00:07:45] そんなものは全部も

[00:07:45 - 00:07:48] ゴミ箱にポイ捨てしなさいと

[00:07:48 - 00:07:50] そんな何の意味もないんだと

[00:07:50 - 00:07:52] 僕も結構いろんな人に

[00:07:52 - 00:07:55] 僕の手を読んでもらったことがあるんです

[00:07:55 - 00:07:57] 遊びで

[00:07:57 - 00:07:59] お金払ってないんです

[00:07:59 - 00:08:02] そこでいろいろ言うんですけど

[00:08:02 - 00:08:06] 結局言ってること私は知ってるんです

[00:08:06 - 00:08:08] あなたはこういうこういうではないか

[00:08:08 - 00:08:09] こういうこういうではないか

[00:08:09 - 00:08:10] まあそうでしょうと

[00:08:10 - 00:08:12] 私が知ってますそんなことは

[00:08:12 - 00:08:15] 自分知ってることを人に聞いてもらったって

[00:08:15 - 00:08:19] 別にどこが何が面白いか分からないんです

[00:08:19 - 00:08:21] で私はチャレンジするのは

[00:08:21 - 00:08:27] じゃあできれば私が知らないことを言ってください

[00:08:27 - 00:08:28] それは言えないんですね

[00:08:28 - 00:08:34] 手相見ても人相見たっても

[00:08:34 - 00:08:41] ですからこの体は心が作るものだから

[00:08:41 - 00:08:43] 我々の顔を見たら

[00:08:43 - 00:08:47] だいたい分かるんですよどんな人間かと

[00:08:47 - 00:08:49] 皆様もそうでしょうね

[00:08:49 - 00:08:52] すごい仕事でストレス溜まっちゃうと

[00:08:52 - 00:08:56] 胃やら腸やら全部もうダメになっちゃうし

[00:08:56 - 00:09:00] 髪の毛がすごく早く白くなってしまっちゃうし

