[00:00:30 - 00:10:08] 今日、テーマがいろんなことを、たくさんいろんなことをしゃべらなくちゃいけないんですから、何も前置きなしに、いきなり私のテーマに沿ってしゃべりたいと思っています。「心と病気の関係」というテーマでございますが、鈴木さんが大変優しい、簡単な話だと思っているようですけど、もし話になると、大変とんでもない難しい話になる可能性はあるんです。それを恐れていろいろ考えていましたけど、なかなか解決策を見つけられなかったんです。一応、私が思ったのは、何か病気の人々を集めて、病院みたいに治療みたいなものをしゃべるということではないんです。それよりは、この病気を治して健康な体を作る、この噂ですか、実相ですか、それを何か専門的に、プロに話してあげたかったんです。ということは、私の話を聞いて、自分で実践してみて、いくらか健康な体を作られればいい、という立場で話をしたいと思っていたんです。とにかく、よく聞いてください。何とかなるんじゃないかなと思います。特に日本で、アメリカとかそういう二つの国でも、また他の国でもその影響で、「宗教というのは何かヒーリング、ヒーリングというのは癒やすですか、そんな仕事をやっていることだ」と思っているんですね。僕らはものすごくそれをいやらしく感じるんですよ。「何とか宗教からいろいろ病気を治してくれたんだ。がんを治してくれたんだ」という、ものすごく、仏教の者はそれは「すごくいやらしい宗教だな」と思うようなものなんですね。何とかして人の病気を治したということは。ですから、それをまず覚えていてください。何とか何とかして、何とかお祈りして、何とか処分をして、その人の病気を治しましたと。そういうのは、それほど高次元的なものではないんです。なぜならば、そんなに病気を治した形跡はどこにもないんですよ。宗教であろうが、どんな何か神秘的な手柄であろうが、もしそういう神秘的な、すごい巨大な力があって人の病気を治したならば、世の中にはもう病気は全部消えているはずなんですね。ですから、宗教が一生懸命病気を治すし、でもそれを信じている人々は一生懸命病気になったりするし、キリがないんです。ですから、その方法は我々には断っているので、お釈迦様は禁じられているんです。「人の病気を治すとか、そういう行動はやめなさい」と。お釈迦様の言葉から言うならば、それは邪な生き方なんです。ですから、僕はすごく心配しながら話さなくちゃいけないんです。もっとレベル高く、高度なレベルで、この心・体・病気、そういうものはどういうものかと理解していただければ、病気を治してもらうよりもっといいことになるかもしれません。じゃあ話に入りますけど、わからないかもしれません。だけどこれは聞いて覚えておいてください。我々の体というものは、心が優るんです。心というのは魂ではないんです。何かエネルギーなんです。精神的なエネルギーなんです。この精神的なエネルギーというものが、この肉体的な体を作っているんです。それで、皆様方よく聞いていらっしゃるんですね、占いしてるんですね。手相占い、人相占いとかね。それから、書いたものを見て占ったりするとか。そういうのはもう完全に嘘ではないんだけど、結構当たるんですよ。手相なんかインチキな人ではなくて、お金ではなくて趣味でやってる人から読んでもらったら、結構当たるんです。お金取って読む人は全部嘘を言っていますけど。そこで、人相占いであろうが、他の占いであろうが、いろんな人の顔を見て、歩き方を見て、しゃべり方を見て、声を聞いて、いろいろ占ってもらうと、結構当たるんではないかなと、そういう経験皆様にあると思います。でも当たらないのは、それは商売にしている時なんです。それで食べてると当たらないんです。本人の商売だから、何とかして人の機嫌を取ろうとしてるんですね。ですから、ものすごい嘘を言うんです。趣味で、冗談で、遊びでやってる人は、人が傷つこうが泣こうがそれに構わず、言いたいものを言っちゃいますから、本当のことを言っちゃうんです。それで私は言うのは、「何で手相を見て人の性格わかりますか？　何で人相を見て人の運命やらこれから何か悪いことになる、出会うならば、そんなこと何でわかりますか？」と。それわかるのは、その体が、私の心が作っているんだから、心の状態、性格、私の生き方、体にちゃんと映してるんです。ですから、そういうのは、いくらか当たるんです。だけど、仏教ではそんなものは信じるなと。手相やら人相やら、それから星占いとか、そんなものは全部ゴミ箱にポイ捨てしなさいと。「そんな何の意味もないんだ」と。僕も結構いろんな人に僕の手を読んでもらったことがあるんです。遊びでお金払ってないんです。そこでいろいろ言うんですけど、結局言ってること、私は知ってるんです。「あなたはこういうこういうではないか、こういうこういうではないか」と。「まあそうでしょう」と。私が知ってます。そんなことは自分知ってることは、人に聞いてもらったって別に何が面白いかわからないんです。で、私はチャレンジするのは、「じゃあできれば私が知らないことを言ってください」。それは言えないんですね。手相見ても、人相見たっても。ですから、この体は心が作るものだから、我々の顔を見たら、大体わかるんですよ、どんな人間かと。で、皆様もそうでしょうね。ちょっとすごい仕事でストレス溜まっちゃうと、まあ胃やら腸やら全部もうダメになっちゃうし、もう髪の毛はすごく早く白くなってしまっちゃうし、すごく年取ってしまっちゃうし。ですから、この、例えば二十歳なのに三十代ぐらいの顔を持っていると、当然わかりますね。「この人はえらい心で悩んでるんだ」と。いろんな問題でもう悩んでるっていうこと、よくわかるんですね。例えば七十歳になったおばあちゃんであれば、すごく可愛くて、もう若々しくいるならば、ものすごい精神的にストレス何もなく、まあ元気で健康的でいるということなんですね。ですから、もし病気になりたくなければ、健康な心を作ることなんです。それで、お釈迦様は健康な心を作る方法を教えているんです。しっかりした、どんなものにも怖がらない、どんなものに対しても不満が出てこない、しっかりした心を作る方法を教えてくれるんです。それ実践すれば、もう病気なんかこれは消えていくだろうと。なぜならば、心が体を作りますから。

[00:10:08 - 00:10:17] その心がしっかりしている心であるならば、体も適当に治っていくんです。

[00:10:17 - 00:10:26] ですから、私が申し上げたいのは、自分に病気なんかあるならば、そんなもの忘れてしまってください。

[00:10:26 - 00:10:29] そんなことはどうでもいいんですよ。

[00:10:29 - 00:10:41] 足が痛い、お腹が痛い、腎臓が良くない、心臓が良くないとかね、慢性的な肝炎とか何とかとかね、そんなものはどうでもいいんですよ、別に。

[00:10:41 - 00:10:46] 一体この体は何ですかと。

[00:10:46 - 00:10:52] それで、体ってのは宿りのように、一時的に使っているだけなんですね。

[00:10:52 - 00:10:57] 一時的に使うために、心が作ったものなんですよ。

[00:10:57 - 00:11:10] ですから、わかりやすく言えば、もし例えば血液関係の何か障害があるんだと、それはその本人が勝手に病気になっているだけなんです。

[00:11:10 - 00:11:13] こちらに文句を言ったって何の意味もないんですよ。

[00:11:13 - 00:11:23] お医者さんに文句を言ったっても、環境に文句を言ったっても、食べ物に文句を言ったっても、自分が勝手に病気になっているだけなんです。

[00:11:23 - 00:11:31] ですから、それで病気になると、みんな体に文句を言うんですね。

[00:11:31 - 00:11:41] 何とか悪いとかね、あるいは両親に文句を言ったりするし、仕事に文句を言ったりするし、それは誰のせいでもないんです。

[00:11:41 - 00:11:51] 仕事で、すごい仕事が忙しくて、大変きつい仕事でストレス溜まって、体を壊しましたと。

[00:11:51 - 00:11:57] 言ったら、会社にも仕事にも文句を言うよりは、私は文句を本人に言いたいんですね。

[00:11:57 - 00:12:02] あんたは才能もないのによくも仕事をしているんですね。それで仕事をやめなさいと。

[00:12:02 - 00:12:07] そんなにストレス溜まるんだったら、あなたにはその仕事はできないんだと。

[00:12:07 - 00:12:13] よく仕事ができるんだったら、ものすごい簡単に、遊ぶみたいな感じで仕事をするんですよ。

[00:12:13 - 00:12:21] 髪の毛白毛になったり、もうハゲちゃうし、男は大体ハゲちゃいますから、まあそれはしょうがないんだけど、それはもうホルモンのせいで。

[00:12:21 - 00:12:30] それより早くね、ハゲちゃうし、歳取っちゃうし、おじいちゃんになってしまっちゃうし、それはもうすごい厳しい仕事をしているんだからといって。

[00:12:30 - 00:12:33] その怒りを、その一切は家まで持っていくんですね。

[00:12:33 - 00:12:40] お子さんに文句言うんですね。「私はもう仕事をしている」と言ってくるんだから、もう疲れているんですよとか、何とかとか。

[00:12:40 - 00:12:45] 子供の面倒なんか見る暇がないんですよとか。

[00:12:45 - 00:13:07] で、僕から見れば才能ない人だなと。なぜならば、男であるならば仕事をするのは当たり前であって、家に帰ったらお子さんとちょっと仲良くして、子供たちとちょっと遊んで、子供たちなんかいろいろ悪いことでもしているならば、それは正しく指導して教えて、するのはやっぱり男の仕事なんですね。

[00:13:07 - 00:13:12] 男の仕事の半分やらない。仕事だけやるというのも半分男なんですね。

[00:13:12 - 00:13:18] いくら会社で偉そうな仕事をしていたっても、それよりも才能ある人にはならないんですね。

[00:13:18 - 00:13:21] 才能ある人は、全部まとめてちゃんとやるんです。

[00:13:21 - 00:13:25] と同時に、何もストレスは溜まっていないんです。

[00:13:25 - 00:13:28] すごい健康的なんです。

[00:13:28 - 00:13:32] お子さんについては同じことなんですよ。

[00:13:32 - 00:13:43] 子育てに追われて、もう体を壊しましたと言うと、私はあんまりはっきりと、女性だから言わないんだけど、もう全然才能がない。

[00:13:43 - 00:13:47] 子育てには全く才能がないということなんですね。

[00:13:47 - 00:13:51] 母になる資格はないんだと。

[00:13:51 - 00:13:58] 母になったら、子供育てで病気になったら、そんなものはもう認めることはいけませんよ。

[00:13:58 - 00:14:05] 例えば、大体赤ちゃんの頃は夜は寝られない。赤ちゃんというのはすごく夜起きますから。

[00:14:05 - 00:14:09] それもお母さんが悪いんですよ。昼間寝かせておくんですよ。「うるさいんだから」と言って。

[00:14:09 - 00:14:15] 子供は昼間寝て、夜は起きるんですね。「ざまあみろ」と。

[00:14:16 - 00:14:21] だからそれはそれで、そこでお母さんたちがみんなに文句言っちゃうんですね。

[00:14:21 - 00:14:27] 旦那さんにも当たっちゃうんですね。「ストレス溜まっているんだ」と。

[00:14:27 - 00:14:30] 本当は溜まるはずがないんですよ。

[00:14:30 - 00:14:39] 我々の心に十分資格というか才能というか、そんなものはないからなんです。

[00:14:39 - 00:14:45] いっそでも皆様方、どこかでえらい心配事があるんですよ。

[00:14:45 - 00:14:54] 例えば美しい女性がいても、「どこかでもうちょっと」、あるいは「自分は本当に美しいか」と。

[00:14:54 - 00:14:57] どこかで不満があるんですね。

[00:14:57 - 00:15:05] そのどこかに不満があるんだから、そういう不満を解消するためにいろんなことをする。

[00:15:06 - 00:15:11] エアロビクスもするし、お化粧もするし、いろいろおしゃれもするし、いろんなことをする。

[00:15:11 - 00:15:16] それをすればするほど、その不満が大きくなっちゃうんです。

