[00:00:30 - 00:00:36] 槁 競馬
[00:00:52 - 00:00:54] いろんなことを
[00:00:54 - 00:00:58] たくさんいろんなことをしゃべらなくちゃいけないんですから
[00:00:58 - 00:01:03] 何も前置きなしにいきなり
[00:01:03 - 00:01:09] 私のテーマに沿いでしゃべりたいと思っています
[00:01:09 - 00:01:16] 心と病気の関係というテーマでございますが
[00:01:16 - 00:01:23] 鈴木さんが大変優しい簡単な話だと思っているようですけど
[00:01:23 - 00:01:32] もし話になると大変とんでもない難しい話になる可能性はあるんです
[00:01:32 - 00:01:35] それを恐れていろいろ考えていましたけど
[00:01:35 - 00:01:39] なかなか解決策を見つからなかったんです
[00:01:39 - 00:01:44] 一応私は思ったのは
[00:01:44 - 00:01:47] 何か病気の人々集めで病院みたいに
[00:01:47 - 00:01:52] 治療みたいなものをしゃべるということではないんです
[00:01:52 - 00:01:58] それよりはこの病気を治して健康な体を作る
[00:01:58 - 00:02:01] この噂ですか実装ですか
[00:02:01 - 00:02:08] それを何か専門的にプロに話してあげたかったんです
[00:02:08 - 00:02:14] ということは私の話を聞いて自分で実践してみて
[00:02:14 - 00:02:19] いくらが健康な体を作らればいいという立場で
[00:02:19 - 00:02:23] 話をしたいと思っていたんです
[00:02:23 - 00:02:29] とにかくよく聞いてください
[00:02:29 - 00:02:37] 何とかなるんじゃないかなと思います
[00:02:37 - 00:02:41] 特に日本でアメリカとかそういう2つの国でも
[00:02:41 - 00:02:44] また他の国でもその影響で
[00:02:44 - 00:02:49] 宗教というのは何かヒーリング
[00:02:49 - 00:02:51] ヒーリングというのは癒すですか
[00:02:51 - 00:02:54] そんな仕事をやっていることだと思っているんですね
[00:02:54 - 00:02:58] 僕らはものすごくそれをいやらしく感じるんですよ
[00:02:58 - 00:03:02] なんとか宗教からいろいろ病気を治してくれたんだと
[00:03:02 - 00:03:04] がんを治してくれたんだと
[00:03:04 - 00:03:08] いうものすごく仏教のものは
[00:03:08 - 00:03:16] それはすごくいやらしい宗教だなと思うようなものなんですね
[00:03:16 - 00:03:20] 何とかして人の病気を治したということは
[00:03:20 - 00:03:23] ですからそれをまず覚えていてください
[00:03:23 - 00:03:26] 何とか何とかして何とかお祈りして
[00:03:26 - 00:03:30] 何とか処分をしてその人の病気を治しましたと
[00:03:30 - 00:03:34] そういうのはそれほど高次元的なものではないんです
[00:03:34 - 00:03:42] なぜならばそんなに病気を治した形跡はどこにもないんですよ
[00:03:42 - 00:03:45] 宗教であろうかどんな何か神秘的な手柄であろうか
[00:03:45 - 00:03:48] もしそういう神秘的なすごい巨大な力があって
[00:03:48 - 00:03:51] 人の病気を治したならば
[00:03:51 - 00:03:55] 世の中にはもう病気は全部消えているはずなんですね
[00:03:55 - 00:04:01] ですからもう宗教が一生懸命病気を治すし
[00:04:01 - 00:04:05] でもそれを信じている人々は一生懸命病気になったりするし
[00:04:05 - 00:04:07] 消えがないんです
[00:04:07 - 00:04:12] ですからその方法は我々には断っているので
[00:04:12 - 00:04:14] お釈迦様は禁じられているんです
[00:04:14 - 00:04:21] 人の病気を治すとかそういう行動はやめなさいと
[00:04:21 - 00:04:29] お釈迦様の言葉から言うならばそれは横締めな生き方なんです
[00:04:29 - 00:04:37] ですから僕はすごく心配しながら話しなくちゃいけないんです
[00:04:37 - 00:04:42] もっとレベル高く行動に行動なレベルで
[00:04:42 - 00:04:49] この心体病気そういうものはどういうものかと
[00:04:49 - 00:04:55] 理解していただければ病気を治してもらうより
[00:04:55 - 00:05:00] もっといいことになるかもしれません
[00:05:00 - 00:05:10] じゃあ話に入りますけど
[00:05:10 - 00:05:14] わからないかもしれませんだけどこれは聞いて覚えておいてください
[00:05:14 - 00:05:21] 我々の体というものは心が優るんです
[00:05:21 - 00:05:25] 心というのは魂ではないんです
[00:05:25 - 00:05:30] 何かエネルギーなんです精神的なエネルギーなんです
[00:05:30 - 00:05:40] この精神的なエネルギーというものがこの肉体的な体を救っているんです
[00:05:40 - 00:05:45] それで皆様方よく聞いていらっしゃるんですね
[00:05:45 - 00:05:47] 占いしてるんですね
[00:05:47 - 00:05:50] 手相占い人相占いとかね
[00:05:50 - 00:05:55] それから書いたものを見て占ったりするとか
[00:05:55 - 00:06:00] そういうのはもう完全に嘘ではないんだけど結構当たるんですよ
[00:06:00 - 00:06:05] 手相なんかインチギな人ではなくてお金ではなくて
[00:06:05 - 00:06:09] 趣味でやってる人から呼んでもらったら結構当たるんです
[00:06:09 - 00:06:12] お金とって呼ぶ人は全部嘘言ってますけど
[00:06:12 - 00:06:16] そこで人相占いであろうか他の占いであろうか
[00:06:16 - 00:06:20] いろんな人の顔を見て歩き方を見て喋り方を見て声を聞いて
[00:06:20 - 00:06:25] いろいろ占ってもらうと結構当たるんではないかなと
[00:06:25 - 00:06:29] そういう経験皆様にあると思います
[00:06:29 - 00:06:32] でも当たらないのはそれは商売にしている時なんです
[00:06:32 - 00:06:35] それで食べてると当たらないんです
[00:06:35 - 00:06:40] 本人の商売だから何とかして人の機嫌を取ろうとしてるんですね
[00:06:40 - 00:06:43] ですからものすごい嘘を言うんです
[00:06:43 - 00:06:50] 趣味で冗談で遊びでやってる人は人がキスつこうか泣かろうかそれにかまわず
[00:06:50 - 00:06:54] 言いたいものを言っちゃいますから本当のことを言っちゃうんです
[00:06:54 - 00:07:00] それで私は言うのは何で手相を見て人の性格わかりますか
[00:07:00 - 00:07:07] 何で人相を見て人の運命やらこれから何か悪いことになる出会うならば
[00:07:07 - 00:07:10] そんなこと何でわかりますかと
[00:07:10 - 00:07:17] それわかるのはその体が私の心がすくっているんだから
[00:07:17 - 00:07:27] 心の状態性格私の生き方体にちゃんと映してるんです
[00:07:27 - 00:07:33] ですからそういうのはいくらか当たるんです
[00:07:33 - 00:07:38] だからでいて仏教ではそんなものは信じるなと
[00:07:38 - 00:07:47] 手相やら人相やらそれから星占いとかそんなものは全部ゴミバケにポイ捨てしなさいと
[00:07:47 - 00:07:49] そんな何の意味もないんだと
[00:07:49 - 00:07:54] 僕も結構いろんな人に僕の手を読んでもらったことがあるんです
[00:07:54 - 00:07:58] 遊びでお金払ってないんです
[00:07:58 - 00:08:05] そこでいろいろ言うんですけど結局言ってること私は知ってるんです
[00:08:05 - 00:08:08] あなたはこういうこういうではないかこういうこういうではないかと
[00:08:08 - 00:08:11] まあそうでしょうと私が知ってますそんなことは
[00:08:11 - 00:08:18] 自分知ってることは人に聞いてもらったって別に何が面白いか分からないんです
[00:08:18 - 00:08:27] で私はチャレンジするのはじゃあできれば私が知らないことを言ってください
[00:08:27 - 00:08:34] それは言えないんですね手相見ても人相見たっても
[00:08:34 - 00:08:41] ですからこの体は心が作るものだから
[00:08:41 - 00:08:47] 我々の顔を見たら大体分かるんですよどんな人間かと
[00:08:47 - 00:08:52] で皆様もそうでしょうねちょっとすごい仕事でストレス溜まっちゃうと
[00:08:52 - 00:08:55] まあ胃やら腸やら全部もうダメになっちゃうし
[00:08:55 - 00:08:59] もう髪の毛はすごく早く白くなってしまっちゃうし
[00:08:59 - 00:09:02] すごく年取ってしまっちゃうし
[00:09:02 - 00:09:09] ですからこの例えば20歳なのに30代ぐらいの顔を持っていると当然分かりますね
[00:09:09 - 00:09:12] この人はえらい心で悩んでるんだと
[00:09:12 - 00:09:17] いろんな問題でもう悩んでるっていうことよく分かるんですね
